id_venda,data,produto,categoria,regiao,vendedor,preco_unitario,quantidade,receita,custo,lucro
93,2023-03-29,Teclado,Periféricos,Centro-Oeste,Ana,1165.41,3,3496.23,2586.9,909.33
94,2023-09-23,Teclado,Periféricos,Sul,Daniela,4093.62,3,12280.86,9458.55,2822.31
95,2022-04-06,Notebook,Computadores,Sudeste,Carlos,2249.69,9,20247.21,14648.06,5599.15
96,2023-05-03,Mouse,Periféricos,Sudeste,Helena,3200.66,1,3200.66,2314.89,885.77
97,2022-12-24,Mouse,Periféricos,Centro-Oeste,Helena,3737.55,2,7475.1,3836.98,3638.12
98,2024-02-26,Webcam,Vídeo,Centro-Oeste,Daniela,7766.47,9,69898.23,51950.51,17947.72
99,2024-08-31,HD Externo,Armazenamento,Sul,Fernanda,5341.31,1,5341.31,3015.86,2325.45
100,2024-08-22,HD Externo,Armazenamento,Nordeste,Helena,3457.11,1,3457.11,2149.86,1307.25
101,2021-04-07,Teclado,Periféricos,Centro-Oeste,Fernanda,4377.92,2,8755.84,5438.23,3317.61
102,2023-11-22,Mouse,Periféricos,Sul,Carlos,7815.35,1,7815.35,5548.75,2266.6
103,2022-04-14,SSD,Armazenamento,Sudeste,Helena,559.71,4,2238.84,1263.17,975.67
104,2023-02-09,Webcam,Vídeo,Sudeste,Helena,979.87,2,1959.74,1226.16,733.58
105,2022-01-25,Mouse,Periféricos,Nordeste,Eduardo,762.62,2,1525.24,959.17,566.07
106,2023-06-14,Mouse,Periféricos,Norte,Gabriel,6554.03,8,52432.24,43266.16,9166.08
107,2023-03-16,HD Externo,Armazenamento,Norte,Gabriel,459.81,5,2299.05,1911.3,387.75
108,2021-09-05,SSD,Armazenamento,Centro-Oeste,Fernanda,2825.94,6,16955.64,12072.28,4883.36
109,2022-08-11,Notebook,Computadores,Sudeste,Gabriel,4025.69,1,4025.69,3175.59,850.1
110,2023-12-31,Webcam,Vídeo,Centro-Oeste,Carlos,2592.34,8,20738.72,12987.51,7751.21
111,2024-12-05,Notebook,Computadores,Sul,Helena,6715.09,4,26860.36,16534.2,10326.16
112,2023-09-15,HD Externo,Armazenamento,Sul,Daniela,6798.06,3,20394.18,11602.45,8791.73
113,2022-08-24,Webcam,Vídeo,Sudeste,Helena,3732.77,5,18663.85,12182.37,6481.48
114,2023-02-23,Mouse,Periféricos,Sudeste,Helena,7867.06,10,78670.6,62583.47,16087.13
115,2023-06-29,Teclado,Periféricos,Nordeste,Ana,1330.05,7,9310.35,7229.3,2081.05
116,2022-05-02,Headset,Áudio,Sul,Daniela,6227.75,3,18683.25,15282.34,3400.91
117,2024-07-19,SSD,Armazenamento,Norte,Gabriel,4404.32,6,26425.92,17521.08,8904.84
118,2022-09-16,Teclado,Periféricos,Nordeste,Fernanda,5611.86,3,16835.58,9241.17,7594.41
119,2022-02-06,SSD,Armazenamento,Nordeste,Carlos,3660.76,10,36607.6,21276.42,15331.18
120,2022-01-28,Headset,Áudio,Nordeste,Ana,6013.76,5,30068.8,24816.11,5252.69
121,2021-11-27,HD Externo,Armazenamento,Norte,Carlos,1309.77,6,7858.62,5641.92,2216.7
122,2021-12-24,Webcam,Vídeo,Norte,Bruno,1984.84,6,11909.04,6852.87,5056.17
123,2024-05-26,HD Externo,Armazenamento,Sudeste,Carlos,801.3,9,7211.7,4928.94,2282.76
124,2021-12-16,Monitor,Monitores,Norte,Gabriel,7132.95,4,28531.8,20975.6,7556.2
125,2022-09-29,HD Externo,Armazenamento,Nordeste,Fernanda,5916.31,1,5916.31,4232.64,1683.67
126,2022-09-06,SSD,Armazenamento,Sudeste,Carlos,7319.69,3,21959.07,12458.57,9500.5
127,2022-02-09,HD Externo,Armazenamento,Sul,Carlos,7915.36,10,79153.6,59034.84,20118.76
128,2024-07-10,Teclado,Periféricos,Sul,Carlos,1897.53,2,3795.06,2022.98,1772.08
129,2024-07-30,Teclado,Periféricos,Norte,Helena,5766.14,7,40362.98,23449.11,16913.87
130,2022-05-31,Monitor,Monitores,Sul,Gabriel,7360.84,2,14721.68,11434.36,3287.32
131,2022-01-25,Headset,Áudio,Centro-Oeste,Daniela,7724.65,10,77246.5,44147.03,33099.47
132,2023-08-11,Notebook,Computadores,Norte,Gabriel,4127.85,8,33022.8,17332.06,15690.74
133,2023-07-13,Webcam,Vídeo,Sul,Bruno,3516.71,5,17583.55,9381.63,8201.92
134,2025-02-08,Notebook,Computadores,Nordeste,Eduardo,2706.43,8,21651.44,16981.65,4669.79
135,2023-02-03,HD Externo,Armazenamento,Centro-Oeste,Bruno,5587.74,8,44701.92,37853.99,6847.93
136,2023-12-16,Mouse,Periféricos,Nordeste,Fernanda,7682.01,5,38410.05,22799.79,15610.26
137,2023-07-12,Mouse,Periféricos,Norte,Ana,5169.18,6,31015.08,19569.44,11445.64
138,2022-11-12,HD Externo,Armazenamento,Sudeste,Carlos,1468.16,3,4404.48,3202.16,1202.32
139,2023-05-28,Monitor,Monitores,Sudeste,Carlos,6537.23,9,58835.07,34438.98,24396.09
140,2023-03-21,Webcam,Vídeo,Sudeste,Carlos,2104.08,10,21040.8,13217.46,7823.34
141,2022-04-16,SSD,Armazenamento,Norte,Daniela,7870.87,4,31483.48,23167.46,8316.02
142,2024-12-27,Teclado,Periféricos,Sul,Fernanda,3586.22,10,35862.2,21951.71,13910.49
143,2022-06-16,Notebook,Computadores,Sudeste,Fernanda,3660.37,1,3660.37,2134.37,1526.0
144,2021-09-14,Teclado,Periféricos,Centro-Oeste,Carlos,3957.67,3,11873.01,6941.95,4931.06
145,2023-05-09,Teclado,Periféricos,Centro-Oeste,Gabriel,4399.14,1,4399.14,2787.23,1611.91
146,2022-09-11,Headset,Áudio,Centro-Oeste,Carlos,646.73,8,5173.84,4397.13,776.71
147,2023-07-26,Mouse,Periféricos,Centro-Oeste,Carlos,7717.57,5,38587.85,31998.46,6589.39
148,2023-05-27,HD Externo,Armazenamento,Sul,Ana,490.25,3,1470.75,974.38,496.37
149,2023-02-04,Monitor,Monitores,Norte,Helena,373.76,10,3737.6,2965.36,772.24
150,2024-01-07,Teclado,Periféricos,Nordeste,Daniela,207.99,2,415.98,218.53,197.45
151,2023-03-15,HD Externo,Armazenamento,Sul,Helena,2363.93,4,9455.72,5801.1,3654.62
152,2023-11-25,Monitor,Monitores,Sul,Daniela,6621.01,1,6621.01,4848.5,1772.51
153,2023-03-12,Monitor,Monitores,Centro-Oeste,Eduardo,6893.56,5,34467.8,18886.21,15581.59
154,2023-01-18,Webcam,Vídeo,Nordeste,Daniela,1263.4,6,7580.4,5471.95,2108.45
155,2024-03-02,Mouse,Periféricos,Sul,Helena,6842.07,1,6842.07,4306.95,2535.12
156,2021-12-17,Notebook,Computadores,Sul,Gabriel,7645.95,6,45875.7,33466.56,12409.14
157,2022-02-20,Monitor,Monitores,Centro-Oeste,Gabriel,2005.37,10,20053.7,14418.47,5635.23
158,2023-09-22,Webcam,Vídeo,Centro-Oeste,Helena,4688.94,5,23444.7,19196.46,4248.24
159,2024-08-15,Webcam,Vídeo,Sul,Fernanda,1307.73,8,10461.84,7150.46,3311.38
160,2023-10-07,Teclado,Periféricos,Nordeste,Gabriel,5935.99,6,35615.94,22711.64,12904.3
161,2024-06-12,Monitor,Monitores,Nordeste,Fernanda,249.92,4,999.68,559.73,439.95
162,2023-02-15,Teclado,Periféricos,Centro-Oeste,Daniela,3511.51,10,35115.1,23871.84,11243.26
163,2024-05-26,Monitor,Monitores,Norte,Bruno,5923.1,10,59231.0,49624.6,9606.4
164,2022-02-22,Monitor,Monitores,Nordeste,Daniela,477.13,8,3817.04,2364.5,1452.54
165,2023-02-18,SSD,Armazenamento,Sudeste,Bruno,4323.64,5,21618.2,15716.25,5901.95
166,2025-01-23,Teclado,Periféricos,Sul,Gabriel,1439.24,4,5756.96,3599.37,2157.59
167,2025-01-05,Notebook,Computadores,Nordeste,Gabriel,5131.54,8,41052.32,34651.54,6400.78
168,2021-12-02,Mouse,Periféricos,Norte,Helena,196.52,1,196.52,125.87,70.65
169,2022-05-20,Mouse,Periféricos,Nordeste,Fernanda,5196.95,5,25984.75,15193.66,10791.09
170,2024-02-06,HD Externo,Armazenamento,Norte,Ana,606.59,4,2426.36,1618.27,808.09
171,2024-06-27,Teclado,Periféricos,Nordeste,Helena,5947.98,10,59479.8,50272.8,9207.0
172,2022-12-20,Monitor,Monitores,Norte,Gabriel,915.92,2,1831.84,1339.15,492.69
173,2021-10-14,Mouse,Periféricos,Nordeste,Helena,4696.05,4,18784.2,14789.57,3994.63
174,2022-09-20,Monitor,Monitores,Nordeste,Daniela,1354.36,5,6771.8,5203.73,1568.07
175,2023-01-14,Mouse,Periféricos,Nordeste,Daniela,82.99,5,414.95,261.6,153.35
176,2024-12-21,Mouse,Periféricos,Nordeste,Eduardo,162.18,2,324.36,241.91,82.45
177,2024-06-20,Headset,Áudio,Norte,Gabriel,1999.6,6,11997.6,9838.0,2159.6
178,2021-04-23,Monitor,Monitores,Sul,Gabriel,3909.71,2,7819.42,6050.89,1768.53
179,2023-12-21,Mouse,Periféricos,Norte,Helena,3156.46,9,28408.14,22546.79,5861.35
180,2024-12-01,Notebook,Computadores,Sul,Daniela,7697.77,3,23093.31,12591.51,10501.8
181,2023-07-05,Teclado,Periféricos,Sul,Eduardo,6847.44,2,13694.88,11315.66,2379.22
182,2024-09-25,Notebook,Computadores,Norte,Eduardo,6814.69,2,13629.38,8063.72,5565.66
183,2024-06-26,HD Externo,Armazenamento,Centro-Oeste,Bruno,1054.29,3,3162.87,2448.35,714.52
184,2021-12-13,Headset,Áudio,Sul,Fernanda,7077.69,10,70776.9,58697.3,12079.6
185,2022-05-24,Monitor,Monitores,Nordeste,Helena,2551.08,2,5102.16,3392.52,1709.64
186,2023-12-29,HD Externo,Armazenamento,Sudeste,Daniela,5609.92,5,28049.6,17189.36,10860.24
187,2021-09-18,Headset,Áudio,Sul,Ana,5817.36,2,11634.72,7606.08,4028.64
188,2021-09-06,Teclado,Periféricos,Sudeste,Gabriel,1153.17,8,9225.36,6946.21,2279.15
189,2024-04-11,Headset,Áudio,Nordeste,Daniela,726.86,10,7268.6,6083.65,1184.95
190,2022-05-21,Headset,Áudio,Centro-Oeste,Carlos,2561.21,7,17928.47,10819.47,7109.0
191,2022-04-03,Notebook,Computadores,Sul,Gabriel,2999.08,1,2999.08,1774.48,1224.6
192,2024-10-22,Headset,Áudio,Sudeste,Daniela,3683.19,4,14732.76,8489.89,6242.87
193,2023-04-07,Teclado,Periféricos,Sul,Eduardo,1094.88,3,3284.64,1967.98,1316.66
194,2021-01-16,Webcam,Vídeo,Nordeste,Gabriel,7610.71,8,60885.68,46473.35,14412.33
195,2021-12-17,Headset,Áudio,Sul,Ana,6876.03,4,27504.12,17969.0,9535.12
196,2022-04-29,Headset,Áudio,Centro-Oeste,Eduardo,6169.34,1,6169.34,4652.3,1517.04
197,2021-10-19,HD Externo,Armazenamento,Nordeste,Ana,6848.67,6,41092.02,24763.21,16328.81
198,2021-02-15,SSD,Armazenamento,Sul,Bruno,1587.57,8,12700.56,10039.45,2661.11
199,2023-12-31,Teclado,Periféricos,Norte,Carlos,1465.68,9,13191.12,10538.15,2652.97
200,2023-12-15,Notebook,Computadores,Norte,Bruno,1975.54,8,15804.32,11601.12,4203.2
201,2024-11-20,Webcam,Vídeo,Nordeste,Gabriel,6988.31,2,13976.62,7109.49,6867.13
202,2024-03-26,Headset,Áudio,Nordeste,Gabriel,4823.9,6,28943.4,22002.94,6940.46
203,2023-10-21,Notebook,Computadores,Sul,Carlos,1427.97,5,7139.85,5534.2,1605.65
204,2024-01-06,Notebook,Computadores,Sudeste,Carlos,2543.04,8,20344.32,15757.92,4586.4
205,2023-08-25,HD Externo,Armazenamento,Centro-Oeste,Carlos,6429.98,4,25719.92,20084.11,5635.81
206,2023-10-21,Webcam,Vídeo,Norte,Daniela,3000.25,1,3000.25,1713.5,1286.75
207,2021-09-04,SSD,Armazenamento,Norte,Helena,3659.63,4,14638.52,11698.62,2939.9
208,2023-12-12,SSD,Armazenamento,Centro-Oeste,Bruno,5247.52,4,20990.08,10818.76,10171.32
209,2021-01-11,Monitor,Monitores,Nordeste,Eduardo,3328.5,3,9985.5,7035.7,2949.8
210,2024-09-27,Headset,Áudio,Sul,Eduardo,3508.85,2,7017.7,3543.78,3473.92
211,2023-10-10,SSD,Armazenamento,Sudeste,Fernanda,4569.03,8,36552.24,30913.92,5638.32
212,2023-01-14,SSD,Armazenamento,Nordeste,Carlos,7542.65,7,52798.55,38816.58,13981.97
213,2021-07-26,Monitor,Monitores,Norte,Ana,7260.62,3,21781.86,15517.77,6264.09
214,2022-09-24,Monitor,Monitores,Centro-Oeste,Fernanda,4733.79,5,23668.95,16565.13,7103.82
215,2022-08-12,Teclado,Periféricos,Sul,Helena,7981.85,9,71836.65,36909.98,34926.67
216,2025-02-02,Headset,Áudio,Sudeste,Ana,5246.05,9,47214.45,24596.56,22617.89
217,2023-11-07,Mouse,Periféricos,Centro-Oeste,Bruno,4351.45,1,4351.45,2986.88,1364.57
218,2024-01-25,HD Externo,Armazenamento,Sul,Ana,1062.51,5,5312.55,4299.6,1012.95
219,2023-07-29,SSD,Armazenamento,Centro-Oeste,Carlos,4488.52,4,17954.08,14849.29,3104.79
220,2023-10-20,SSD,Armazenamento,Nordeste,Ana,1393.36,5,6966.8,4496.44,2470.36
221,2021-10-03,Notebook,Computadores,Centro-Oeste,Eduardo,4180.4,1,4180.4,2378.96,1801.44
222,2024-05-10,Webcam,Vídeo,Centro-Oeste,Fernanda,2620.24,9,23582.16,19909.27,3672.89
223,2023-11-16,Notebook,Computadores,Norte,Carlos,7251.11,6,43506.66,25626.99,17879.67
224,2024-02-24,Webcam,Vídeo,Nordeste,Helena,2320.42,9,20883.78,15923.99,4959.79
225,2023-05-20,Monitor,Monitores,Centro-Oeste,Helena,6122.56,6,36735.36,29461.92,7273.44
226,2021-07-27,Webcam,Vídeo,Sudeste,Helena,6839.61,10,68396.1,48946.34,19449.76
227,2023-10-08,SSD,Armazenamento,Sul,Carlos,4281.78,5,21408.9,17876.85,3532.05
228,2023-01-02,Mouse,Periféricos,Centro-Oeste,Eduardo,986.6,3,2959.8,2473.78,486.02
229,2023-06-15,Teclado,Periféricos,Centro-Oeste,Bruno,5064.32,4,20257.28,12654.37,7602.91
230,2022-05-05,Mouse,Periféricos,Sudeste,Ana,5665.04,3,16995.12,11561.78,5433.34
231,2024-01-26,Notebook,Computadores,Nordeste,Carlos,1477.48,1,1477.48,1252.44,225.04
232,2022-04-27,Teclado,Periféricos,Norte,Daniela,2738.9,9,24650.1,18611.2,6038.9
233,2022-04-30,HD Externo,Armazenamento,Sudeste,Fernanda,1513.68,1,1513.68,830.81,682.87
234,2024-02-03,Mouse,Periféricos,Centro-Oeste,Bruno,6179.38,9,55614.42,29112.53,26501.89
235,2023-04-20,Mouse,Periféricos,Centro-Oeste,Carlos,5438.6,8,43508.8,34237.95,9270.85
236,2023-03-09,HD Externo,Armazenamento,Norte,Ana,1865.75,3,5597.25,2833.71,2763.54
237,2023-08-18,Monitor,Monitores,Nordeste,Bruno,7069.64,10,70696.4,36698.25,33998.15
238,2022-04-26,HD Externo,Armazenamento,Sudeste,Eduardo,7867.18,3,23601.54,15276.97,8324.57
239,2022-12-23,Mouse,Periféricos,Sul,Gabriel,2837.83,4,11351.32,7187.21,4164.11
240,2023-08-14,Teclado,Periféricos,Centro-Oeste,Bruno,5142.49,7,35997.43,27370.7,8626.73
241,2021-06-05,Headset,Áudio,Sul,Fernanda,2570.38,8,20563.04,16151.3,4411.74
242,2023-12-08,Webcam,Vídeo,Norte,Carlos,3352.79,7,23469.53,17747.71,5721.82
243,2022-04-08,Headset,Áudio,Centro-Oeste,Fernanda,7324.28,9,65918.52,44122.91,21795.61
244,2021-06-05,HD Externo,Armazenamento,Centro-Oeste,Gabriel,691.19,6,4147.14,2418.57,1728.57
245,2023-09-06,Monitor,Monitores,Sul,Fernanda,4620.74,7,32345.18,24370.12,7975.06
246,2021-07-11,Teclado,Periféricos,Sudeste,Fernanda,542.99,8,4343.92,2242.76,2101.16
247,2021-10-03,SSD,Armazenamento,Sul,Carlos,2643.53,5,13217.65,9546.66,3670.99
248,2022-01-29,Mouse,Periféricos,Nordeste,Bruno,2910.58,6,17463.48,11883.52,5579.96
249,2022-06-16,SSD,Armazenamento,Sudeste,Eduardo,7279.56,9,65516.04,34724.19,30791.85
250,2022-04-03,Teclado,Periféricos,Sudeste,Eduardo,4646.59,1,4646.59,2480.33,2166.26
251,2022-10-18,HD Externo,Armazenamento,Norte,Daniela,1072.22,10,10722.2,5604.79,5117.41
252,2022-12-03,SSD,Armazenamento,Norte,Eduardo,479.64,9,4316.76,2451.64,1865.12
253,2022-07-02,Headset,Áudio,Centro-Oeste,Fernanda,4646.45,7,32525.15,23370.24,9154.91
254,2022-06-03,Mouse,Periféricos,Norte,Gabriel,2406.7,4,9626.8,7066.57,2560.23
255,2021-12-16,SSD,Armazenamento,Nordeste,Fernanda,2773.32,3,8319.96,6419.35,1900.61
256,2022-06-06,Webcam,Vídeo,Centro-Oeste,Daniela,7852.7,7,54968.9,36136.33,18832.57
257,2023-02-06,Webcam,Vídeo,Centro-Oeste,Fernanda,6024.12,9,54217.08,31693.97,22523.11
258,2021-09-14,Notebook,Computadores,Nordeste,Helena,398.5,1,398.5,208.65,189.85
259,2023-10-31,Monitor,Monitores,Nordeste,Helena,1324.59,4,5298.36,3642.77,1655.59
260,2024-04-27,Notebook,Computadores,Norte,Carlos,1413.23,2,2826.46,1803.03,1023.43
261,2023-09-01,Monitor,Monitores,Sul,Daniela,3996.64,1,3996.64,3249.21,747.43
262,2023-01-21,Webcam,Vídeo,Nordeste,Bruno,5312.22,7,37185.54,29382.3,7803.24
263,2023-11-06,Webcam,Vídeo,Sul,Ana,522.48,1,522.48,378.22,144.26
264,2023-12-26,Headset,Áudio,Sul,Helena,2172.52,8,17380.16,12887.65,4492.51
265,2024-02-04,Webcam,Vídeo,Sudeste,Ana,2562.56,4,10250.24,6745.69,3504.55
